"dgp","s_eval","M_mult","M","coverage","coverage_fixed_z","med_width","med_set_width","med_c","empty_rate"
"G2",13,0.4,0.01,0.126666666666667,0.123333333333333,0.329821992017856,0.122826144668498,1.64770562150706,0.0466666666666667
"G2",13,1,0.025,0.956666666666667,0.956666666666667,0.689470395124371,0.482826144668498,1.64485570503901,0
"G2",13,2,0.05,1,1,1.28947039512437,1.0828261446685,1.64485570503901,0
"G2",13,4,0.1,1,1,2.48947039512437,2.2828261446685,1.64485570503901,0
"G2",17,0.4,0.01,0.106666666666667,0.106666666666667,0.431905461388648,0.156386672790135,1.64753173234282,0.0666666666666667
"G2",17,1,0.025,0.956666666666667,0.956666666666667,0.911198921095127,0.636386672790135,1.64485570503901,0
"G2",17,2,0.05,1,1,1.71119892109513,1.43638667279013,1.64485570503901,0
"G2",17,4,0.1,1,1,3.31119892109513,3.03638667279013,1.64485570503901,0
"G3",13,0.4,0.01,0.02,0.00666666666666667,-0.103907952985436,-0.356319273880745,1.95996613172985,1
"G3",13,1,0.025,0.953333333333333,0.9,0.249599024092993,0.00368072611925524,1.9328208273436,0.473333333333333
"G3",13,2,0.05,1,1,0.816097376785997,0.603680726119255,1.64485570503901,0
"G3",13,4,0.1,1,1,2.016097376786,1.80368072611926,1.64485570503901,0
"G3",17,0.4,0.01,0.0233333333333333,0.00666666666666667,-0.142387131923253,-0.480152318493841,1.95996613172985,1
"G3",17,1,0.025,0.94,0.91,0.327549084993153,-0.000152318493841258,1.95914424610142,0.5
"G3",17,2,0.05,1,1,1.08347532105021,0.799847681506159,1.64485570503901,0
"G3",17,4,0.1,1,1,2.68347532105022,2.39984768150616,1.64485570503901,0
