quantity,value
bias_TWFE_tau_sat,0.0255551198271655
max_abs_diff_formula,1.82076576038526e-14
invariance_gap_affine_max,4.44089209850063e-14
invariance_gap_periodic_max,8.88178419700125e-15
single_cohort_bias,-1.11022302462516e-16
pretrend_max_abs_err,1.46826995006677e-14
pretrend_SHIFT_k-5,-0.183287492094567
pretrend_SHIFT_k-4,-0.0703052634024275
pretrend_SHIFT_k-3,-0.0183943166275325
pretrend_COEF_reported_k-5,0.068456351283373
pretrend_COEF_reported_k-4,0.0605931971759429
pretrend_COEF_reported_k-3,0.0138917457491639
pretrend_COEF_unconditioned_k-5,0.251743843377955
pretrend_COEF_unconditioned_k-4,0.130898460578374
pretrend_COEF_unconditioned_k-3,0.0322860623766922
partial_alignment_shift_k-5,-0.141938900253278
partial_alignment_shift_k-4,-0.0544448050181675
partial_alignment_shift_k-3,-0.0142446658153598
partial_alignment_shift_k0,-0.00781763835174052
partial_alignment_shift_k1,-0.0199256875976909
partial_alignment_shift_k2,-0.0343883642660089
partial_alignment_shift_k3,-0.0501432878623873
partial_alignment_shift_k4,-0.0666074116095928
partial_alignment_shift_k5,-0.0834607526518917
partial_alignment_shift_k6,-0.100527700674707
