k,beta_reported,beta_true_outcome,predicted_shift,observed_shift,abs_err
-5,0.068456351283373,0.251743843377955,-0.183287492094567,-0.183287492094582,1.46826995006677e-14
-4,0.0605931971759429,0.130898460578374,-0.0703052634024275,-0.070305263402431,3.49720252756924e-15
-3,0.0138917457491639,0.0322860623766922,-0.0183943166275325,-0.0183943166275284,4.08700850940136e-15
0,-0.274378723575592,-0.264283708572404,-0.0100950150031877,-0.0100950150031881,3.88578058618805e-16
1,-0.306059586973004,-0.280329295266335,-0.0257302917066685,-0.0257302917066697,1.22124532708767e-15
2,-0.353481542739453,-0.309075414241179,-0.0444061284982763,-0.0444061284982738,2.4980018054066e-15
3,-0.461228641274785,-0.396477981228302,-0.0647506600464912,-0.0647506600464833,7.88258347483861e-15
4,-0.637755033153096,-0.551744042458875,-0.0860109906942213,-0.0860109906942216,3.33066907387547e-16
5,-0.781198250235345,-0.673424327691255,-0.10777392254409,-0.107773922544089,1.11022302462516e-16
6,-0.848800342304128,-0.718987654522128,-0.129812687782006,-0.129812687782,6.77236045021346e-15
